datetime,chla_rfu,do,par,phyco,temp
2006-06-28,,,,,22.22
2006-06-29,,,,,22.34
2006-06-30,,,,,22.84
2006-07-01,,,,,22.4
2006-07-02,,,,,22.4
2006-07-03,,,,,22.76
2006-07-04,,,,,23.28
2006-07-05,,,,,24.07
2006-07-06,,,,,24.16
2006-07-07,,,,,24.11
2006-07-08,,,,,
2006-07-09,,,,,
2006-07-10,63.085,11.57,,106.985,24.125
2006-07-11,67.11,11.42,,91.065,23.32
2006-07-12,54.92,11.88,,80.70500000000001,23.29
2006-07-13,59.555,13.335,,94.33,24.28
2006-07-14,66.22,,,129.61,25.23
2006-07-15,71.43,,,148.1,25.53
2006-07-16,65.41,13.82,,92.84,25.83
2006-07-17,75.56,12.92,,93.94,25.75
2006-07-18,78.76,11.41,,83.9,26.02
2006-07-19,90.465,12.52,,108.305,25.55
2006-07-20,97.46,12.78,,111.32,25.45
2006-07-21,,,,,
2006-07-22,,,,,
2006-07-23,,,,,
2006-07-24,,8.5,,,24.2
2006-07-25,115.7,12.73,,248.1,24.86
2006-07-26,118.5,12.39,,242.4,24.79
2006-07-27,122.4,13.01,,281.5,25.35
2006-07-28,106.4,12.31,,229.7,24.91
2006-07-29,98.75,13.89,,173.0,25.9
2006-07-30,95.7,13.89,,169.05,
2006-07-31,95.05,13.67,,163.6,26.03
2006-08-01,97.9,,,176.85000000000002,
2006-08-02,97.2,,,172.1,
2006-08-03,98.3,,,181.8,
2006-08-04,102.5,10.37,,158.0,27.29
2006-08-05,103.7,10.34,,175.0,26.72
2006-08-06,118.2,9.75,,174.79,26.57
2006-08-07,144.67,9.49,,205.44,26.36
2006-08-08,116.47,10.08,,165.7,26.35
2006-08-09,119.35,10.155000000000001,,164.36,25.950000000000003
2006-08-10,115.03,10.16,,153.53,26.325000000000003
2006-08-11,126.475,9.34,,215.39499999999998,25.59
2006-08-12,128.65,9.45,,209.215,25.2825
2006-08-13,133.09,9.8,,186.57,25.08
2006-08-14,139.07,9.63,,196.43,24.945
2006-08-15,147.64,9.32,,190.85,24.784999999999997
2006-08-16,151.32,8.17,,156.40499999999997,24.9
2006-08-17,153.86,8.14,,176.235,24.475
2006-08-18,149.695,7.81,,175.54500000000002,24.235
2006-08-19,123.73,7.49,,183.55,24.085
2006-08-20,121.97,7.43,,165.275,23.955
2006-08-21,116.69,7.92,,171.29500000000002,24.25
2006-08-22,119.93,8.09,,154.515,24.21
2006-08-23,94.48,8.43,,114.03999999999999,24.759999999999998
2006-08-24,104.59,8.04,,156.915,24.1625
2006-08-25,98.45,7.63,,156.51,23.82
2006-08-26,103.12,7.59,,164.69,23.67
2006-08-27,100.05,7.46,,148.89,23.565
2006-08-28,100.65,7.47,,161.86,23.415
2006-08-29,111.795,7.39,,153.28,23.18
2006-08-30,123.89,7.73,,162.465,23.15
2006-08-31,149.17,7.77,,171.32,22.89
2006-09-01,221.55,7.94,,197.84500000000003,22.645
2006-09-02,333.42,8.32,,283.71,22.555
2006-09-03,,8.66,,325.5,22.675
2006-09-04,,8.77,,316.98,22.7
2006-09-05,109.01,8.56,,285.19,22.490000000000002
2006-09-06,114.01,8.86,,167.695,22.59
2006-09-07,102.18,9.13,,138.54,22.79
2006-09-08,118.02,8.86,,185.32,22.465000000000003
2006-09-09,121.93,8.55,,177.55,22.42
2006-09-10,116.25,7.91,,183.785,21.305
2006-09-11,113.41,7.76,,178.55,20.685
2006-09-12,112.24,7.69,,180.56,20.134999999999998
2006-09-13,102.89,7.74,,185.42000000000002,19.66
2006-09-14,98.58,7.99,,151.985,19.5475
2006-09-15,107.76,8.09,,193.325,19.509999999999998
2006-09-16,117.21,8.33,,234.26,19.73
2006-09-17,162.415,8.44,,270.24,19.78
2006-09-18,140.305,8.32,,249.95,19.52
2006-09-19,134.76,8.03,,252.46,18.79
2006-09-20,138.73,7.73,,225.64,18.045
2006-09-21,148.07999999999998,8.25,,277.16,17.805
2006-09-22,138.13,8.12,,248.285,17.52
2006-09-23,154.17,8.04,,299.05,17.405
2006-09-24,139.88,8.01,,265.95,17.259999999999998
2006-09-25,148.70499999999998,8.22,,300.42,17.095
2006-09-26,152.51,8.21,,246.235,16.97
2006-09-27,149.49,8.2,,260.06,16.82
2006-09-28,152.0,8.28,,287.55,16.585
2006-09-29,145.615,8.32,,324.855,16.325
2006-09-30,140.35,8.13,,293.64,16.08
2006-10-01,147.08,8.18,,301.69,16.03
2006-10-02,179.82999999999998,8.7,,298.905,16.255000000000003
2006-10-03,175.61,8.75,,250.74,16.494999999999997
2006-10-04,148.66,8.79,,326.37,16.4875
2006-10-05,205.54,8.85,,383.5,16.32
2006-10-06,149.21,8.61,,296.67499999999995,16.105
2006-10-07,,9.9,,,16.255000000000003
2006-10-08,,9.18,,,16.06
2006-10-09,,8.76,,,15.84
2006-10-10,,8.31,,,15.5
2006-10-11,,8.33,,,15.385
2006-10-12,,7.96,,,14.48
2006-10-13,,6.9,,,13.58
2006-10-14,,7.55,,,13.035
2006-10-15,,7.29,,,12.8
2006-10-16,,7.83,,,12.53
2006-10-17,,7.76,,,12.46
2006-10-18,,,,,
2006-10-19,,,,,
2006-10-20,,,,,
2006-10-21,,,,,
2006-10-22,,,,,
2006-10-23,,,,,
2006-10-24,,,,,
2006-10-25,,,,,
2006-10-26,,,,,
2006-10-27,,,,,
2006-10-28,,,,,
2006-10-29,,,,,
2006-10-30,,9.8,,,9.8
2006-10-31,,,,,
2006-11-01,,,,,
2006-11-02,,,,,
2006-11-03,,,,,
2006-11-04,,,,,
2006-11-05,,,,,
2006-11-06,,,,,
2006-11-07,,,,,
2006-11-08,,,,,
2006-11-09,,,,,
2006-11-10,,,,,
2006-11-11,,,,,
2006-11-12,,,,,
2006-11-13,,,,,
2006-11-14,,,,,
2006-11-15,,,,,
2006-11-16,,,,,
2006-11-17,,,,,
2006-11-18,,,,,
2006-11-19,,,,,
2006-11-20,,,,,
2006-11-21,,,,,
2006-11-22,,,,,
2006-11-23,,,,,
2006-11-24,,,,,
2006-11-25,,,,,
2006-11-26,,,,,
2006-11-27,,11.1,,,6.7
2006-11-28,,,,,
2006-11-29,,,,,
2006-11-30,,,,,
2006-12-01,,,,,
2006-12-02,,,,,
2006-12-03,,,,,
2006-12-04,,,,,
2006-12-05,,,,,
2006-12-06,,,,,
2006-12-07,,,,,
2006-12-08,,,,,
2006-12-09,,,,,
2006-12-10,,,,,
2006-12-11,,,,,
2006-12-12,,,,,
2006-12-13,,,,,
2006-12-14,,,,,
2006-12-15,,,,,
2006-12-16,,,,,
2006-12-17,,,,,
2006-12-18,,,,,
2006-12-19,,,,,
2006-12-20,,,,,
2006-12-21,,,,,
2006-12-22,,,,,
2006-12-23,,,,,
2006-12-24,,,,,
2006-12-25,,,,,
2006-12-26,,,,,
2006-12-27,,,,,
2006-12-28,,,,,
2006-12-29,,,,,
2006-12-30,,,,,
2006-12-31,,,,,
2007-01-01,,,,,
2007-01-02,,,,,
2007-01-03,,14.0,,,2.2
2007-01-04,,,,,
2007-01-05,,,,,
2007-01-06,,,,,
2007-01-07,,,,,
2007-01-08,,,,,
2007-01-09,,,,,
2007-01-10,,,,,
2007-01-11,,,,,
2007-01-12,,,,,
2007-01-13,,,,,
2007-01-14,,,,,
2007-01-15,,,,,
2007-01-16,,,,,
2007-01-17,,,,,
2007-01-18,,,,,
2007-01-19,,,,,
2007-01-20,,,,,
2007-01-21,,,,,
2007-01-22,,,,,
2007-01-23,,,,,
2007-01-24,,,,,
2007-01-25,,,,,
2007-01-26,,,,,
2007-01-27,,,,,
2007-01-28,,,,,
2007-01-29,,,,,
2007-01-30,,,,,
2007-01-31,,,,,
2007-02-01,,,,,
2007-02-02,,,,,
2007-02-03,,,,,
2007-02-04,,,,,
2007-02-05,,,,,
2007-02-06,,,,,
2007-02-07,,,,,
2007-02-08,,,,,
2007-02-09,,,,,
2007-02-10,,,,,
2007-02-11,,,,,
2007-02-12,,,,,
2007-02-13,,,,,
2007-02-14,,,,,
2007-02-15,,,,,
2007-02-16,,,,,
2007-02-17,,,,,
2007-02-18,,,,,
2007-02-19,,14.3,,,0.6
2007-02-20,,,,,
2007-02-21,,,,,
2007-02-22,,,,,
2007-02-23,,,,,
2007-02-24,,,,,
2007-02-25,,,,,
2007-02-26,,,,,
2007-02-27,,,,,
2007-02-28,,,,,
2007-03-01,,,,,
2007-03-02,,,,,
2007-03-03,,,,,
2007-03-04,,,,,
2007-03-05,,,,,
2007-03-06,,,,,
2007-03-07,,,,,
2007-03-08,,,,,
2007-03-09,,,,,
2007-03-10,,,,,
2007-03-11,,,,,
2007-03-12,,,,,
2007-03-13,,,,,
2007-03-14,,,,,
2007-03-15,,,,,
2007-03-16,,,,,
2007-03-17,,,,,
2007-03-18,,,,,
2007-03-19,,,,,
2007-03-20,,,,,
2007-03-21,,,,,
2007-03-22,,,,,
2007-03-23,,,,,
2007-03-24,,,,,
2007-03-25,,,,,
2007-03-26,,,,,
2007-03-27,,,,,
2007-03-28,,,,,
2007-03-29,,,,,
2007-03-30,,,,,
2007-03-31,,,,,
2007-04-01,,,,,
2007-04-02,,13.4,,,3.8
2007-04-03,,,,,
2007-04-04,,,,,
2007-04-05,,,,,
2007-04-06,,,,,
2007-04-07,,,,,
2007-04-08,,,,,
2007-04-09,,,,,
2007-04-10,,,,,
2007-04-11,,,,,
2007-04-12,,,,,
2007-04-13,,,,,
2007-04-14,,,,,
2007-04-15,,,,,
2007-04-16,,14.0,,,4.2
2007-04-17,,,,,
2007-04-18,,,,,
2007-04-19,,,,,
2007-04-20,,,,,
2007-04-21,,,,,
2007-04-22,,,,,
2007-04-23,,,,,
2007-04-24,,,,,
2007-04-25,,,,,
2007-04-26,,,,,
2007-04-27,,,,,
2007-04-28,,,,,
2007-04-29,,,,,
2007-04-30,,13.6,,,8.9
2007-05-01,,,,,
2007-05-02,,,,,
2007-05-03,,,,,
2007-05-04,,,,,
2007-05-05,,,,,
2007-05-06,,,,,
2007-05-07,,,,,
2007-05-08,,,,,
2007-05-09,,,,,
2007-05-10,,,,,
2007-05-11,,,,,
2007-05-12,,,,,
2007-05-13,,,,,
2007-05-14,,10.0,,,14.2
2007-05-15,,,,,
2007-05-16,,,,,
2007-05-17,,,,,
2007-05-18,,9.09,,,14.46
2007-05-19,,9.21,,,14.43
2007-05-20,,9.27,,,14.915
2007-05-21,,9.36,,,14.68
2007-05-22,,9.38,,,15.07
2007-05-23,,9.24,,,15.585
2007-05-24,,9.22,,,16.005
2007-05-25,,9.05,,,16.735
2007-05-26,,9.21,,,16.97
2007-05-27,,,,,
2007-05-28,,9.35,,,17.03
2007-05-29,,9.38,,,17.244999999999997
2007-05-30,,9.5,,,18.035
2007-05-31,,9.48,,,18.485
2007-06-01,,9.54,,,19.15
2007-06-02,,9.73,,,19.265
2007-06-03,,9.94,,,19.85
2007-06-04,,10.13,,,20.39
2007-06-05,,,,,
2007-06-06,,,,,
2007-06-07,,,,,
2007-06-08,,,,,
2007-06-09,,,,,
2007-06-10,,,,,
2007-06-11,,9.1,,,20.3
2007-06-12,,9.65,,,20.619999999999997
2007-06-13,,9.78,,,21.055
2007-06-14,,9.87,,,21.605
2007-06-15,,9.95,,,22.064999999999998
2007-06-16,,,,,
2007-06-17,79.1,10.64,,415.5,24.085
2007-06-18,80.4,10.53,,407.0,24.189999999999998
2007-06-19,82.5,9.53,,416.2,23.175
2007-06-20,82.1,9.49,,416.6,23.195
2007-06-21,41.06,9.37,,793.0,23.285
2007-06-22,41.42,9.33,,370.1,22.75
2007-06-23,224.65,9.25,,211.2,22.53
2007-06-24,173.95,9.43,,209.6,22.615000000000002
2007-06-25,302.29999999999995,10.19,,204.4,23.1
2007-06-26,40.32,10.82,,,24.02
2007-06-27,39.71,11.05,,,24.835
2007-06-28,39.73,11.2,,,25.02
2007-06-29,40.42,10.88,,,24.1925
2007-06-30,40.695,11.2,,,23.9
2007-07-01,40.67,11.41,,,23.965
2007-07-02,40.03,11.19,,,23.46
2007-07-03,37.74,11.07,,,23.275
2007-07-04,27.67,11.41,,,23.509999999999998
2007-07-05,19.03,11.83,,,24.575
2007-07-06,40.99,11.79,,,24.65
2007-07-07,41.06,11.77,,,25.549999999999997
2007-07-08,40.38,10.87,,,25.64
2007-07-09,40.03,10.31,,,25.6
2007-07-10,39.7,10.05,,,25.47
2007-07-11,39.41,9.6,,,24.85
2007-07-12,39.08,9.62,,,24.185000000000002
2007-07-13,39.08,9.63,,,23.869999999999997
2007-07-14,39.74,9.63,,,23.395000000000003
2007-07-15,39.75,9.54,,,23.275
2007-07-16,38.39,10.51,,,23.54
2007-07-17,40.05,9.99,,,23.505
2007-07-18,40.71,10.79,,,24.369999999999997
2007-07-19,39.74,11.07,,,24.675
2007-07-20,40.6,10.57,,,24.41
2007-07-21,41.06,10.51,,,24.36
2007-07-22,40.42,10.465,,,24.095
2007-07-23,40.41,10.2,,,23.85
2007-07-24,41.35,10.61,,,24.66
2007-07-25,41.05,10.73,,,24.765
2007-07-26,40.73,10.364999999999998,,,24.78
2007-07-27,40.21,9.9,,,24.915
2007-07-28,40.06,9.66,,,24.9225
2007-07-29,39.67,9.63,,,24.92
2007-07-30,40.035,10.1,,,25.725
2007-07-31,39.72,10.2,,,26.25
2007-08-01,39.02,10.32,,,27.299999999999997
2007-08-02,39.7,10.31,,,27.19
2007-08-03,39.06,9.96,,,27.145
2007-08-04,38.72,,,,26.73
2007-08-05,39.75,,,,25.48
2007-08-06,39.74,9.5,,,25.4
2007-08-07,40.06,8.63,,,25.490000000000002
2007-08-08,39.73,9.17,,,25.875
2007-08-09,39.74,8.86,,,25.6725
2007-08-10,39.71,9.15,,,26.060000000000002
2007-08-11,39.37,9.11,,,26.0625
2007-08-12,39.06,8.91,,,25.92
2007-08-13,39.4,8.97,,,26.48
2007-08-14,39.41,8.21,,,25.585
2007-08-15,39.07,8.16,,,25.42
2007-08-16,39.74,8.02,,,25.175
2007-08-17,40.39,8.16,,,24.994999999999997
2007-08-18,40.43,8.19,,,24.54
2007-08-19,41.08,7.79,,,23.1575
2007-08-20,41.74,7.78,,,22.845
2007-08-21,41.59,7.73,,,22.655
2007-08-22,40.41,8.36,,,23.25
2007-08-23,39.74,8.58,,,23.189999999999998
2007-08-24,39.74,8.86,,,23.305
2007-08-25,40.08,8.66,,,23.165
2007-08-26,39.75,9.18,,,23.314999999999998
2007-08-27,41.09,8.65,,,22.79
2007-08-28,41.07,8.41,,,22.564999999999998
2007-08-29,39.07,9.52,,,23.4125
2007-08-30,39.75,9.27,,,23.18
2007-08-31,40.37,10.73,,,23.455
2007-09-01,40.81,10.78,,,23.795
2007-09-02,40.42,10.42,,,23.38
2007-09-03,40.39,10.225000000000001,,,23.345
2007-09-04,41.07,10.34,,,24.04
2007-09-05,41.08,10.3,,,24.165
2007-09-06,41.06,9.91,,,24.1
2007-09-07,41.08,9.22,,,24.015
2007-09-08,40.41,9.18,,,23.905
2007-09-09,40.09,9.53,,,23.939999999999998
2007-09-10,40.43,8.73,,,23.240000000000002
2007-09-11,41.76,7.96,,,22.244999999999997
2007-09-12,41.8,7.9,,,21.415
2007-09-13,41.09,8.44,,,20.995
2007-09-14,41.11,8.31,,,20.490000000000002
2007-09-15,40.14,8.68,,,19.955
2007-09-16,39.77,8.875,,,19.424999999999997
2007-09-17,39.43,8.99,,,19.255
2007-09-18,39.07,9.05,,,19.244999999999997
2007-09-19,36.41,9.37,,,19.485
2007-09-20,35.09,10.18,,,19.8575
2007-09-21,39.1,9.5,,,19.66
2007-09-22,38.42,9.51,,,19.689999999999998
2007-09-23,37.095,10.09,,,19.8125
2007-09-24,39.75,9.42,,,19.5875
2007-09-25,38.43,9.86,,,20.18
2007-09-26,37.77,9.62,,,19.915
2007-09-27,39.11,9.49,,,19.62
2007-09-28,39.77,9.51,,,19.475
2007-09-29,41.12,9.5,,,19.28
2007-09-30,39.915000000000006,9.21,,,18.9725
2007-10-01,40.1,9.26,,,18.965
2007-10-02,41.74,9.39,,,19.005
2007-10-03,42.43,8.85,,,18.795
2007-10-04,42.105000000000004,9.36,,,18.845
2007-10-05,41.05,9.61,,,18.96
2007-10-06,41.09,9.63,,,19.125
2007-10-07,39.74,10.22,,,19.775
2007-10-08,40.58,9.78,,,19.795
2007-10-09,41.09,9.72,,,19.490000000000002
2007-10-10,41.13,9.52,,,18.825000000000003
2007-10-11,41.8,9.19,,,17.9575
2007-10-12,42.45,8.96,,,17.299999999999997
2007-10-13,43.1,8.72,,,17.125
2007-10-14,44.29,8.4,,,16.945
2007-10-15,44.44,8.43,,,16.705
2007-10-16,44.44,8.59,,,16.61
2007-10-17,44.78,8.52,,,16.475
2007-10-18,45.1,8.58,,,16.395
2007-10-19,45.13,8.57,,,16.37
2007-10-20,45.14,8.54,,,16.09
2007-10-21,45.13,8.58,,,15.91
2007-10-22,45.81,8.45,,,15.87
2007-10-23,46.065,,,,
2007-10-24,46.155,,,,
2007-10-25,46.13,,,,
2007-10-26,46.5,,,,
2007-10-27,,,,,
2007-10-28,46.85,,,,
2007-10-29,47.17,7.4,,,14.3
2007-10-30,47.65,,,,
2007-10-31,,,,,
2007-11-01,,,,,
2007-11-02,,,,,
2007-11-03,,,,,
2007-11-04,,,,,
2007-11-05,,,,,
2007-11-06,,,,,
2007-11-07,,,,,
2007-11-08,,,,,
2007-11-09,,,,,
2007-11-10,,,,,
2007-11-11,,,,,
2007-11-12,,,,,
2007-11-13,,,,,
2007-11-14,,,,,
2007-11-15,,,,,
2007-11-16,,,,,
2007-11-17,,,,,
2007-11-18,,,,,
2007-11-19,,,,,
2007-11-20,,,,,
2007-11-21,,,,,
2007-11-22,,,,,
2007-11-23,,,,,
2007-11-24,,,,,
2007-11-25,,,,,
2007-11-26,,11.1,,,7.1
2007-11-27,,,,,
2007-11-28,,,,,
2007-11-29,,,,,
2007-11-30,,,,,
2007-12-01,,,,,
2007-12-02,,,,,
2007-12-03,,,,,
2007-12-04,,,,,
2007-12-05,,,,,
2007-12-06,,,,,
2007-12-07,,,,,
2007-12-08,,,,,
2007-12-09,,,,,
2007-12-10,,,,,
2007-12-11,,,,,
2007-12-12,,,,,
2007-12-13,,,,,
2007-12-14,,,,,
2007-12-15,,,,,
2007-12-16,,,,,
2007-12-17,,,,,
2007-12-18,,,,,
2007-12-19,,,,,
2007-12-20,,,,,
2007-12-21,,,,,
2007-12-22,,,,,
2007-12-23,,,,,
2007-12-24,,,,,
2007-12-25,,,,,
2007-12-26,,,,,
2007-12-27,,,,,
2007-12-28,,,,,
2007-12-29,,,,,
2007-12-30,,,,,
2007-12-31,,,,,
2008-01-01,,,,,
2008-01-02,,,,,
2008-01-03,,,,,
2008-01-04,,,,,
2008-01-05,,,,,
2008-01-06,,,,,
2008-01-07,,,,,
2008-01-08,,,,,
2008-01-09,,,,,
2008-01-10,,,,,
2008-01-11,,,,,
2008-01-12,,,,,
2008-01-13,,,,,
2008-01-14,,,,,
2008-01-15,,,,,
2008-01-16,,,,,
2008-01-17,,,,,
2008-01-18,,,,,
2008-01-19,,,,,
2008-01-20,,,,,
2008-01-21,,,,,
2008-01-22,,,,,
2008-01-23,,,,,
2008-01-24,,,,,
2008-01-25,,,,,
2008-01-26,,,,,
2008-01-27,,,,,
2008-01-28,,,,,
2008-01-29,,,,,
2008-01-30,,,,,
2008-01-31,,,,,
2008-02-01,,,,,
2008-02-02,,,,,
2008-02-03,,,,,
2008-02-04,,,,,
2008-02-05,,,,,
2008-02-06,,,,,
2008-02-07,,,,,
2008-02-08,,,,,
2008-02-09,,,,,
2008-02-10,,,,,
2008-02-11,,,,,
2008-02-12,,,,,
