epoch,training_cost,validation_cost,lr_per_epoch
1,1.1504716502247954,1.0446615289239323,0.0008799269593971269
2,0.9489186927140187,0.7344981063814724,0.0008799269593971269
3,0.7061396819010055,0.6157530546188354,0.0008799269593971269
4,0.6346281765819454,0.5872937370749081,0.0008799269593971269
5,0.5889088570964423,0.5640007976223441,0.0008799269593971269
6,0.5641403612044218,0.5363616136943593,0.0008799269593971269
7,0.5463346639018265,0.4975433533682543,0.0008799269593971269
8,0.5276328935790405,0.46999451693366556,0.0008799269593971269
9,0.5109665750277986,0.4561521498595967,0.0008799269593971269
10,0.4975543309994739,0.4498991510447334,0.0008799269593971269
11,0.48711508871625653,0.4537489326561199,0.0008799269593971269
12,0.4784397594898725,0.4512937743874157,0.0008799269593971269
13,0.47201146024594204,0.4537300064283259,0.0008799269593971269
14,0.466206258363861,0.45513514034888325,0.0008799269593971269
15,0.4683136182616083,0.4549436981187147,8.79926959397127e-05
